state,sum_n(n-1),N,N(-1),migration_SDI
ANDAMAN & NICOBAR ISLANDS,1128795762,84796,7190276820,0.8430108060846536
ANDHRA PRADESH,409720307626,1621156,2628145155180,0.844102862119905
ARUNACHAL PRADESH,8412744834,146250,21388916250,0.6066773680503799
ASSAM,41633164096,574103,329593680506,0.8736833666468247
BIHAR,412069357708,1405913,1976589957656,0.7915251182411829
CHANDIGARH,70869894260,645744,416984667792,0.8300419662064139
CHHATTISGARH,216688274798,1293404,1672892613812,0.8704708999197295
DADRA & NAGAR HAVELI,2950121426,136986,18765027210,0.8427861898101665
DAMAN & DIU,2450890534,126224,15932371952,0.8461691365614686
GOA,19550745186,276825,76631803800,0.7448742660811541
GUJARAT,2625121234036,3983795,15870618618230,0.8345923812307721
HARYANA,2314154597254,3767650,14195182754850,0.8369760617232396
HIMACHAL PRADESH,28318873136,450828,203245434756,0.8606666212700061
JAMMU & KASHMIR,3244336138,175060,30645828540,0.8941344942341702
JHARKHAND,2059750623470,2209401,4881450569400,0.5780453793014291
KARNATAKA,1845337100838,3305945,10929269037080,0.8311564026306536
KERALA,116720933538,746357,557048025092,0.7904652233194386
LAKSHADWEEP,19695562,6116,37399340,0.4733714017413142
MADHYA PRADESH,1744587148648,2791534,7792659281622,0.7761242875378386
MAHARASHTRA,12309303709408,9245711,85483162649810,0.8560031785459992
MANIPUR,76301444,21514,462830682,0.8351417765341668
MEGHALAYA,4046779476,114176,13036044800,0.6895699931930274
MIZORAM,553646158,54809,3003971672,0.8156952799653432
NAGALAND,3226158516,113382,12855364542,0.7490418489915429
NCT OF DELHI,10156205639148,6497330,42215290631570,0.7594187914567417
ODISHA,104214833262,884634,782576429322,0.8668311114963065
PUDUCHERRY,74916327620,345025,119041905600,0.37067264470941064
PUNJAB,1009719639010,2732856,7468499183880,0.8648028721500863
RAJASTHAN,1062281038462,2687445,7222357940580,0.8529176970732231
SIKKIM,1542092180,78452,6154637852,0.749442255241893
TAMIL NADU,462006388240,1828888,3344829487656,0.8618744572944536
TRIPURA,47983598152,303517,92122265772,0.4791313723138546
UTTAR PRADESH,2328197987912,4264386,18184983692610,0.8719714008400166
UTTARAKHAND,809561617834,1323615,1751955344610,0.5379096731405473
WEST BENGAL,5138569055450,4325521,18710127595920,0.7253589517705622
