state,sum_n(n-1),N,N(N-1),occupation_SDI
ANDAMAN & NICOBAR ISLANDS,3625929420,259416,67296401640,0.9461200104071419
ANDHRA PRADESH,55072036546490,31922820,1019066404829580,0.9459583435529898
ARUNACHAL PRADESH,17598871466,499536,249535715760,0.9294735368345974
ASSAM,10361788662622,12135640,147273746073960,0.9296426624646434
BIHAR,31688913622940,18380686,337849599449910,0.9062040811220845
CHANDIGARH,31860991886,799878,639804015006,0.9502019506931334
CHHATTISGARH,2112438048538,6169030,38056924971870,0.9444926764288123
DADRA & NAGAR HAVELI,3865397580,221940,49257141660,0.9215261493108733
DAMAN & DIU,5672426754,237844,56569530492,0.8997264657375548
GOA,51854067480,1036172,1073651377412,0.9517030680806349
GUJARAT,33011381463034,24968570,623429462876330,0.9470487305641144
HARYANA,5464586974656,9818892,96410630288772,0.9433196634200159
HIMACHAL PRADESH,406865637986,2650948,7027522647756,0.9421039734228507
JAMMU & KASHMIR,2011196644576,5064974,25653956555702,0.9216028669804159
JHARKHAND,6296656199690,9699624,94082696041752,0.9330731742966244
KARNATAKA,39797621413942,28273076,799366798228700,0.9502135671607469
KERALA,19301339184256,19247666,370472627199890,0.947900768458551
LAKSHADWEEP,66792454,37506,1406662530,0.9525170731603976
MADHYA PRADESH,21899539512872,19076588,363916190645156,0.9398225743294131
MAHARASHTRA,103731601287076,46750222,2185583210299062,0.9525382512098992
MANIPUR,107746213110,1235810,1527225120290,0.9294496851325098
MEGHALAYA,62233448286,985236,970688990460,0.9358873450738241
MIZORAM,9392966260,429628,184579788756,0.9491116209239097
NAGALAND,33483109458,749496,561743504520,0.9403943095227941
NCT OF DELHI,6182119146690,11032884,121724518324572,0.9492122110501542
ODISHA,10949410909974,13394828,179421403754756,0.9389737752529218
PUDUCHERRY,24189547598,726948,528452667756,0.95422570634241
PUNJAB,10325176354656,12749756,162556265309780,0.9364824460319661
RAJASTHAN,30505781690042,22651392,513085536886272,0.9405444521489138
SIKKIM,6143307204,325230,105774227670,0.9419205666699244
TAMIL NADU,76370398219050,38051496,1447916309786520,0.9472549637690661
TRIPURA,178378637338,1640260,2690451227340,0.933699360343224
UTTAR PRADESH,232953831283122,53650238,2878347983806406,0.9190668284051404
UTTARAKHAND,823726826948,3775616,14255272403840,0.9422159883296155
WEST BENGAL,104786941639690,38907762,1513813904940882,0.9307795090944272
