state,migration_p_ln_p
ANDAMAN & NICOBAR ISLANDS,2.2387375802581513
ANDHRA PRADESH,2.308698263860767
ARUNACHAL PRADESH,1.6398246280653472
ASSAM,2.5073513425509626
BIHAR,1.9018949839215684
CHANDIGARH,2.140652354646609
CHHATTISGARH,2.344376480015707
DADRA & NAGAR HAVELI,2.172741910914232
DAMAN & DIU,2.181664532856295
GOA,1.9802744328704913
GUJARAT,2.1785322139675207
HARYANA,2.1850113903904043
HIMACHAL PRADESH,2.4246458024160322
JAMMU & KASHMIR,2.7179984603391243
JHARKHAND,1.304541416371729
KARNATAKA,2.209954384698754
KERALA,2.323722772986909
LAKSHADWEEP,1.2386154021291866
MADHYA PRADESH,1.9721936134041005
MAHARASHTRA,2.39426213746507
MANIPUR,2.49319881854135
MEGHALAYA,1.9297820260004528
MIZORAM,2.055999857750952
NAGALAND,2.0087964837781773
NCT OF DELHI,2.019584955877954
ODISHA,2.3263687419452475
PUDUCHERRY,0.9304470326304549
PUNJAB,2.3668213581198176
RAJASTHAN,2.2771323124891443
SIKKIM,1.9290092489726167
TAMIL NADU,2.3940600771318543
TRIPURA,1.1656024506128044
UTTAR PRADESH,2.438406943083529
UTTARAKHAND,1.5404539429449704
WEST BENGAL,1.75764225355553
