state,mtd_p_ln_p
ANDAMAN & NICOBAR ISLANDS,1.9812715247656822
ANDHRA PRADESH,0.7002058762517003
ARUNACHAL PRADESH,2.387618176090857
ASSAM,1.5709912382251339
BIHAR,0.7473256566500485
CHANDIGARH,0.8004576144998709
CHHATTISGARH,0.7921688275924322
DADRA & NAGAR HAVELI,1.6198881953272004
DAMAN & DIU,1.221126835867146
GOA,1.273432389063486
GUJARAT,0.6353563130559392
HARYANA,0.4679419841421095
HIMACHAL PRADESH,0.605786958413367
JAMMU & KASHMIR,1.2886486669681416
JHARKHAND,1.4179101109963579
KARNATAKA,1.2895757519414464
KERALA,0.18491092644708704
LAKSHADWEEP,0.11407250669218053
MADHYA PRADESH,0.5572672492627486
MAHARASHTRA,1.2353009151447842
MANIPUR,1.9407568644166284
MEGHALAYA,1.4052284119655356
MIZORAM,1.1004133918884453
NAGALAND,2.9538653847021887
NCT OF DELHI,0.7016044497865912
ODISHA,0.8923709658330513
PUDUCHERRY,0.5171130727468486
PUNJAB,0.3794681376582213
RAJASTHAN,0.47745806344811936
SIKKIM,1.461953793418437
TAMIL NADU,0.5357653181454312
TRIPURA,1.0441746937957381
UTTAR PRADESH,0.2509975126870696
UTTARAKHAND,0.5382915195087342
WEST BENGAL,0.6118802522653195
